Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,simplification w vocabulary,logreg,Claude-3.5,"0.167 ± 0.043 [0.089, 0.247]","0.526 ± 0.057 [0.415, 0.632]","0.151 ± 0.042 [0.078, 0.229]","2.278 ± 0.078 [2.133, 2.423]","0.792 ± 0.004 [0.785, 0.798]","0.670 ± 0.004 [0.663, 0.678]","0.250 ± 0.004 [0.242, 0.257]"
EBG,simplification w vocabulary,logreg,Ministral,"0.040 ± 0.029 [0.006, 0.090]","0.166 ± 0.043 [0.089, 0.247]","0.049 ± 0.026 [0.013, 0.094]","2.074 ± 0.090 [1.906, 2.244]","0.909 ± 0.003 [0.904, 0.914]","0.474 ± 0.004 [0.467, 0.480]","0.107 ± 0.003 [0.102, 0.111]"
EBG,simplification w vocabulary,logreg,Gemma-2,"0.024 ± 0.027 [0.002, 0.063]","0.138 ± 0.040 [0.067, 0.211]","0.043 ± 0.024 [0.010, 0.085]","2.042 ± 0.088 [1.870, 2.201]","0.904 ± 0.002 [0.900, 0.909]","0.479 ± 0.004 [0.472, 0.486]","0.123 ± 0.003 [0.118, 0.128]"
EBG,simplification w vocabulary,logreg,GPT-4o,"0.308 ± 0.056 [0.206, 0.414]","0.649 ± 0.055 [0.541, 0.749]","0.248 ± 0.052 [0.155, 0.347]","2.567 ± 0.087 [2.405, 2.733]","0.622 ± 0.007 [0.609, 0.635]","0.763 ± 0.004 [0.755, 0.771]","0.409 ± 0.008 [0.395, 0.423]"
EBG,simplification w vocabulary,logreg,Llama-3.1,"0.034 ± 0.033 [0.002, 0.087]","0.126 ± 0.039 [0.059, 0.198]","0.051 ± 0.025 [0.013, 0.098]","2.697 ± 0.077 [2.557, 2.847]","0.911 ± 0.002 [0.907, 0.916]","0.487 ± 0.004 [0.480, 0.494]","0.152 ± 0.003 [0.147, 0.157]"
EBG,simplification w vocabulary,svm,Claude-3.5,"0.242 ± 0.047 [0.154, 0.329]","0.400 ± 0.058 [0.293, 0.513]","0.126 ± 0.037 [0.062, 0.195]","4.050 ± 0.043 [3.970, 4.132]","0.792 ± 0.004 [0.785, 0.798]","0.670 ± 0.004 [0.663, 0.678]","0.250 ± 0.004 [0.242, 0.257]"
EBG,simplification w vocabulary,svm,Ministral,"0.035 ± 0.028 [0.005, 0.080]","0.146 ± 0.043 [0.073, 0.227]","0.050 ± 0.024 [0.013, 0.090]","3.272 ± 0.060 [3.158, 3.385]","0.909 ± 0.003 [0.904, 0.914]","0.474 ± 0.004 [0.467, 0.480]","0.107 ± 0.003 [0.102, 0.111]"
EBG,simplification w vocabulary,svm,Gemma-2,"0.026 ± 0.022 [0.002, 0.062]","0.156 ± 0.043 [0.081, 0.235]","0.045 ± 0.023 [0.011, 0.086]","3.269 ± 0.079 [3.120, 3.419]","0.904 ± 0.002 [0.900, 0.909]","0.479 ± 0.004 [0.472, 0.486]","0.123 ± 0.003 [0.118, 0.128]"
EBG,simplification w vocabulary,svm,GPT-4o,"0.343 ± 0.057 [0.239, 0.451]","0.593 ± 0.061 [0.480, 0.714]","0.164 ± 0.042 [0.086, 0.239]","4.178 ± 0.041 [4.101, 4.256]","0.622 ± 0.007 [0.609, 0.635]","0.763 ± 0.004 [0.755, 0.771]","0.409 ± 0.008 [0.395, 0.423]"
EBG,simplification w vocabulary,svm,Llama-3.1,"0.039 ± 0.028 [0.006, 0.088]","0.147 ± 0.041 [0.074, 0.225]","0.049 ± 0.027 [0.013, 0.093]","3.947 ± 0.050 [3.857, 4.044]","0.911 ± 0.002 [0.907, 0.916]","0.487 ± 0.004 [0.480, 0.494]","0.152 ± 0.003 [0.147, 0.157]"
EBG,simplification w vocabulary,roberta,Claude-3.5,"0.468 ± 0.058 [0.356, 0.578]","0.600 ± 0.057 [0.494, 0.710]","0.397 ± 0.056 [0.286, 0.496]","1.832 ± 0.081 [1.680, 1.985]","0.792 ± 0.004 [0.785, 0.798]","0.670 ± 0.004 [0.663, 0.678]","0.250 ± 0.004 [0.242, 0.257]"
EBG,simplification w vocabulary,roberta,Ministral,"0.014 ± 0.019 [0.001, 0.037]","0.061 ± 0.028 [0.017, 0.107]","0.029 ± 0.022 [0.005, 0.063]","1.693 ± 0.086 [1.537, 1.859]","0.909 ± 0.003 [0.904, 0.914]","0.474 ± 0.004 [0.467, 0.480]","0.107 ± 0.003 [0.102, 0.111]"
EBG,simplification w vocabulary,roberta,Gemma-2,"0.017 ± 0.023 [0.001, 0.045]","0.100 ± 0.035 [0.041, 0.162]","0.034 ± 0.021 [0.007, 0.069]","2.218 ± 0.088 [2.049, 2.376]","0.904 ± 0.002 [0.900, 0.909]","0.479 ± 0.004 [0.472, 0.486]","0.123 ± 0.003 [0.118, 0.128]"
EBG,simplification w vocabulary,roberta,GPT-4o,"0.554 ± 0.057 [0.445, 0.660]","0.705 ± 0.053 [0.608, 0.808]","0.525 ± 0.058 [0.422, 0.641]","1.529 ± 0.082 [1.375, 1.683]","0.622 ± 0.007 [0.609, 0.635]","0.763 ± 0.004 [0.755, 0.771]","0.409 ± 0.008 [0.395, 0.423]"
EBG,simplification w vocabulary,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.110 ± 0.035 [0.048, 0.173]","0.030 ± 0.021 [0.004, 0.064]","1.730 ± 0.083 [1.580, 1.890]","0.911 ± 0.002 [0.907, 0.916]","0.487 ± 0.004 [0.480, 0.494]","0.152 ± 0.003 [0.147, 0.157]"
RJ,simplification w vocabulary,logreg,Llama-3.1,"0.036 ± 0.032 [0.003, 0.087]","0.179 ± 0.046 [0.094, 0.263]","0.061 ± 0.029 [0.017, 0.112]","1.044 ± 0.091 [0.875, 1.218]","0.874 ± 0.004 [0.867, 0.881]","0.546 ± 0.006 [0.535, 0.557]","0.194 ± 0.005 [0.185, 0.204]"
RJ,simplification w vocabulary,logreg,GPT-4o,"0.198 ± 0.049 [0.111, 0.292]","0.415 ± 0.057 [0.304, 0.522]","0.172 ± 0.044 [0.092, 0.254]","0.993 ± 0.098 [0.813, 1.177]","0.578 ± 0.009 [0.561, 0.594]","0.794 ± 0.006 [0.782, 0.805]","0.428 ± 0.011 [0.407, 0.448]"
RJ,simplification w vocabulary,logreg,Gemma-2,"0.040 ± 0.035 [0.004, 0.098]","0.290 ± 0.053 [0.192, 0.389]","0.070 ± 0.030 [0.021, 0.123]","1.010 ± 0.089 [0.840, 1.173]","0.866 ± 0.004 [0.859, 0.874]","0.532 ± 0.006 [0.522, 0.543]","0.163 ± 0.005 [0.154, 0.172]"
