Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,Entropy ↑,pinc ↑,meteor ↑,bertscore ↑,sbert ↑
EBG,backtranslation via de,logreg,GPT-4o,"0.520 [0.406, 0.631]","0.791 [0.708, 0.882]","0.374 [0.272, 0.477]","2.388 [2.224, 2.546]",,,,"0.971 [0.968, 0.974]"
EBG,backtranslation via de,logreg,Ministral,"0.023 [0.001, 0.060]","0.125 [0.057, 0.197]","0.041 [0.008, 0.082]","1.420 [1.239, 1.606]",,,,"0.117 [0.095, 0.138]"
EBG,backtranslation via de,logreg,Claude-3.5,"0.319 [0.216, 0.413]","0.639 [0.540, 0.746]","0.239 [0.156, 0.337]","2.201 [2.028, 2.365]",,,,"0.940 [0.935, 0.945]"
EBG,backtranslation via de,logreg,Llama-3.1,"0.014 [0.001, 0.037]","0.138 [0.069, 0.210]","0.039 [0.007, 0.077]","2.484 [2.314, 2.648]",,,,"0.131 [0.107, 0.155]"
EBG,backtranslation via de,logreg,Gemma-2,"0.022 [0.002, 0.056]","0.138 [0.070, 0.212]","0.040 [0.009, 0.075]","2.496 [2.337, 2.665]",,,,"0.145 [0.120, 0.171]"
EBG,backtranslation via de,svm,GPT-4o,"0.578 [0.472, 0.687]","0.811 [0.729, 0.900]","0.210 [0.122, 0.293]","4.361 [4.296, 4.427]",,,,"0.971 [0.968, 0.974]"
EBG,backtranslation via de,svm,Ministral,"0.027 [0.003, 0.064]","0.054 [0.008, 0.115]","0.043 [0.010, 0.083]","4.119 [4.024, 4.202]",,,,"0.117 [0.095, 0.138]"
EBG,backtranslation via de,svm,Claude-3.5,"0.312 [0.212, 0.411]","0.577 [0.463, 0.678]","0.160 [0.085, 0.242]","3.962 [3.859, 4.064]",,,,"0.940 [0.935, 0.945]"
EBG,backtranslation via de,svm,Llama-3.1,"0.014 [0.001, 0.037]","0.060 [0.017, 0.107]","0.040 [0.009, 0.078]","4.273 [4.195, 4.351]",,,,"0.131 [0.107, 0.155]"
EBG,backtranslation via de,svm,Gemma-2,"0.014 [0.001, 0.037]","0.084 [0.034, 0.143]","0.041 [0.010, 0.079]","4.273 [4.196, 4.353]",,,,"0.145 [0.120, 0.171]"
EBG,backtranslation via de,roberta,GPT-4o,"0.594 [0.486, 0.697]","0.745 [0.653, 0.842]","0.560 [0.450, 0.662]","1.436 [1.291, 1.586]",,,,"0.971 [0.968, 0.974]"
EBG,backtranslation via de,roberta,Ministral,"0.014 [0.001, 0.037]","0.124 [0.056, 0.199]","0.032 [0.006, 0.065]","1.922 [1.747, 2.091]",,,,"0.117 [0.095, 0.138]"
EBG,backtranslation via de,roberta,Claude-3.5,"0.540 [0.432, 0.646]","0.716 [0.622, 0.811]","0.507 [0.397, 0.615]","1.442 [1.293, 1.590]",,,,"0.940 [0.935, 0.945]"
EBG,backtranslation via de,roberta,Llama-3.1,"0.014 [0.001, 0.037]","0.134 [0.065, 0.203]","0.028 [0.005, 0.063]","1.301 [1.157, 1.452]",,,,"0.131 [0.107, 0.155]"
EBG,backtranslation via de,roberta,Gemma-2,"0.014 [0.001, 0.037]","0.118 [0.054, 0.186]","0.029 [0.005, 0.061]","1.336 [1.192, 1.489]",,,,"0.145 [0.120, 0.171]"
RJ,backtranslation via de,logreg,Llama-3.1,"0.117 [0.051, 0.187]","0.280 [0.181, 0.376]","0.118 [0.053, 0.184]","0.872 [0.726, 1.031]",,,,"0.506 [0.489, 0.523]"
RJ,backtranslation via de,logreg,Gemma-2,"0.100 [0.043, 0.164]","0.272 [0.175, 0.368]","0.107 [0.051, 0.174]","1.006 [0.831, 1.170]",,,,"0.510 [0.493, 0.526]"
RJ,backtranslation via de,logreg,GPT-4o,"0.117 [0.052, 0.187]","0.548 [0.432, 0.661]","0.131 [0.059, 0.203]","0.803 [0.669, 0.959]",,,,"0.956 [0.950, 0.961]"
