Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,imitation w 500words,logreg,GPT-4o,"0.262 ± 0.052 [0.164, 0.359]","0.560 ± 0.060 [0.446, 0.672]","0.221 ± 0.047 [0.136, 0.312]","1.918 ± 0.096 [1.748, 2.109]","0.654 ± 0.007 [0.641, 0.666]","0.800 ± 0.004 [0.792, 0.807]","0.474 ± 0.007 [0.461, 0.488]"
EBG,imitation w 500words,logreg,Llama-3.1,"0.238 ± 0.050 [0.148, 0.333]","0.528 ± 0.061 [0.410, 0.641]","0.196 ± 0.046 [0.110, 0.276]","2.017 ± 0.097 [1.837, 2.199]","0.678 ± 0.007 [0.666, 0.691]","0.742 ± 0.005 [0.733, 0.751]","0.412 ± 0.007 [0.397, 0.425]"
EBG,imitation w 500words,logreg,Gemma-2,"0.165 ± 0.047 [0.081, 0.249]","0.424 ± 0.058 [0.317, 0.533]","0.139 ± 0.039 [0.070, 0.213]","1.520 ± 0.088 [1.360, 1.690]","0.753 ± 0.007 [0.740, 0.765]","0.703 ± 0.005 [0.693, 0.713]","0.324 ± 0.008 [0.309, 0.339]"
EBG,imitation w 500words,logreg,Claude-3.5,"0.034 ± 0.027 [0.004, 0.077]","0.234 ± 0.049 [0.142, 0.326]","0.053 ± 0.027 [0.013, 0.096]","0.796 ± 0.063 [0.677, 0.913]","0.863 ± 0.003 [0.858, 0.868]","0.605 ± 0.004 [0.598, 0.612]","0.202 ± 0.003 [0.195, 0.208]"
EBG,imitation w 500words,logreg,Ministral,"0.254 ± 0.050 [0.166, 0.352]","0.556 ± 0.060 [0.441, 0.669]","0.195 ± 0.046 [0.108, 0.277]","1.844 ± 0.092 [1.682, 2.030]","0.621 ± 0.007 [0.607, 0.635]","0.738 ± 0.005 [0.729, 0.748]","0.372 ± 0.009 [0.356, 0.388]"
EBG,imitation w 500words,svm,GPT-4o,"0.272 ± 0.052 [0.173, 0.368]","0.577 ± 0.060 [0.465, 0.693]","0.132 ± 0.038 [0.064, 0.203]","3.857 ± 0.067 [3.730, 3.982]","0.654 ± 0.007 [0.641, 0.666]","0.800 ± 0.004 [0.792, 0.807]","0.474 ± 0.007 [0.461, 0.488]"
EBG,imitation w 500words,svm,Llama-3.1,"0.267 ± 0.053 [0.174, 0.373]","0.545 ± 0.061 [0.433, 0.667]","0.121 ± 0.036 [0.057, 0.188]","3.861 ± 0.072 [3.726, 3.998]","0.678 ± 0.007 [0.666, 0.691]","0.742 ± 0.005 [0.733, 0.751]","0.412 ± 0.007 [0.397, 0.425]"
EBG,imitation w 500words,svm,Gemma-2,"0.170 ± 0.043 [0.093, 0.249]","0.353 ± 0.056 [0.254, 0.465]","0.098 ± 0.034 [0.042, 0.163]","2.960 ± 0.093 [2.777, 3.125]","0.753 ± 0.007 [0.740, 0.765]","0.703 ± 0.005 [0.693, 0.713]","0.324 ± 0.008 [0.309, 0.339]"
EBG,imitation w 500words,svm,Claude-3.5,"0.042 ± 0.033 [0.007, 0.092]","0.177 ± 0.045 [0.095, 0.258]","0.060 ± 0.027 [0.018, 0.108]","2.067 ± 0.086 [1.899, 2.220]","0.863 ± 0.003 [0.858, 0.868]","0.605 ± 0.004 [0.598, 0.612]","0.202 ± 0.003 [0.195, 0.208]"
EBG,imitation w 500words,svm,Ministral,"0.253 ± 0.050 [0.159, 0.344]","0.523 ± 0.059 [0.411, 0.633]","0.135 ± 0.039 [0.068, 0.210]","3.668 ± 0.069 [3.532, 3.791]","0.621 ± 0.007 [0.607, 0.635]","0.738 ± 0.005 [0.729, 0.748]","0.372 ± 0.009 [0.356, 0.388]"
