Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,imitation w 1000words,logreg,Ministral,"0.019 ± 0.022 [0.001, 0.051]","0.100 ± 0.033 [0.043, 0.163]","0.039 ± 0.023 [0.007, 0.078]","1.986 ± 0.093 [1.803, 2.155]","0.926 ± 0.003 [0.920, 0.931]","0.492 ± 0.005 [0.483, 0.501]","0.161 ± 0.004 [0.152, 0.169]"
EBG,imitation w 1000words,logreg,Claude-3.5,"0.050 ± 0.025 [0.013, 0.091]","0.221 ± 0.050 [0.129, 0.312]","0.052 ± 0.026 [0.012, 0.095]","0.610 ± 0.050 [0.522, 0.712]","0.861 ± 0.003 [0.856, 0.866]","0.598 ± 0.003 [0.591, 0.604]","0.207 ± 0.003 [0.201, 0.213]"
EBG,imitation w 1000words,logreg,Gemma-2,"0.017 ± 0.023 [0.001, 0.045]","0.107 ± 0.037 [0.045, 0.175]","0.029 ± 0.022 [0.004, 0.062]","0.612 ± 0.062 [0.500, 0.728]","0.928 ± 0.002 [0.925, 0.932]","0.484 ± 0.003 [0.478, 0.491]","0.148 ± 0.003 [0.142, 0.153]"
EBG,imitation w 1000words,logreg,Llama-3.1,"0.039 ± 0.028 [0.005, 0.084]","0.122 ± 0.039 [0.058, 0.198]","0.054 ± 0.026 [0.015, 0.099]","2.067 ± 0.096 [1.887, 2.249]","0.933 ± 0.002 [0.929, 0.937]","0.497 ± 0.004 [0.489, 0.505]","0.185 ± 0.003 [0.179, 0.192]"
EBG,imitation w 1000words,logreg,GPT-4o,"0.171 ± 0.042 [0.096, 0.252]","0.465 ± 0.058 [0.352, 0.572]","0.167 ± 0.042 [0.091, 0.244]","1.734 ± 0.099 [1.545, 1.915]","0.679 ± 0.006 [0.667, 0.691]","0.780 ± 0.004 [0.772, 0.787]","0.445 ± 0.007 [0.432, 0.458]"
EBG,imitation w 1000words,svm,Ministral,"0.039 ± 0.028 [0.005, 0.084]","0.121 ± 0.037 [0.058, 0.190]","0.049 ± 0.024 [0.013, 0.090]","3.869 ± 0.062 [3.753, 3.988]","0.926 ± 0.003 [0.920, 0.931]","0.492 ± 0.005 [0.483, 0.501]","0.161 ± 0.004 [0.152, 0.169]"
EBG,imitation w 1000words,svm,Claude-3.5,"0.050 ± 0.025 [0.013, 0.091]","0.180 ± 0.044 [0.102, 0.266]","0.054 ± 0.027 [0.013, 0.098]","1.222 ± 0.079 [1.069, 1.362]","0.861 ± 0.003 [0.856, 0.866]","0.598 ± 0.003 [0.591, 0.604]","0.207 ± 0.003 [0.201, 0.213]"
EBG,imitation w 1000words,svm,Gemma-2,"0.028 ± 0.026 [0.002, 0.069]","0.123 ± 0.039 [0.057, 0.192]","0.047 ± 0.024 [0.011, 0.089]","1.763 ± 0.081 [1.609, 1.914]","0.928 ± 0.002 [0.925, 0.932]","0.484 ± 0.003 [0.478, 0.491]","0.148 ± 0.003 [0.142, 0.153]"
EBG,imitation w 1000words,svm,Llama-3.1,"0.053 ± 0.024 [0.015, 0.095]","0.134 ± 0.039 [0.065, 0.206]","0.057 ± 0.027 [0.017, 0.103]","4.260 ± 0.048 [4.166, 4.346]","0.933 ± 0.002 [0.929, 0.937]","0.497 ± 0.004 [0.489, 0.505]","0.185 ± 0.003 [0.179, 0.192]"
EBG,imitation w 1000words,svm,GPT-4o,"0.187 ± 0.046 [0.104, 0.271]","0.456 ± 0.058 [0.340, 0.561]","0.110 ± 0.035 [0.049, 0.176]","3.451 ± 0.076 [3.307, 3.596]","0.679 ± 0.006 [0.667, 0.691]","0.780 ± 0.004 [0.772, 0.787]","0.445 ± 0.007 [0.432, 0.458]"
