Corpus,Threat Model,Defense Model,Metric,Higher is Better,Metric Type,Baseline Mean,Enhanced Mean,Mean Difference,Difference Std,95% HDI Lower,95% HDI Upper,Conclusion
RJ,logreg,Claude-3.5,accuracy@1,False,Effectiveness,0.03809523809523809,0.06666666666666667,0.028610200441333913,0.011466962301789473,0.00877543621976884,0.049978525885242674,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Gemma-2,accuracy@1,False,Effectiveness,0.009523809523809523,0.05714285714285714,0.04768828732296112,0.012890870274593605,0.02523147050211122,0.07304080045656207,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Ministral,accuracy@1,False,Effectiveness,0.047619047619047616,0.06666666666666667,0.0177238584161418,0.006268958929559573,0.005945704733784904,0.029086234473128025,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Llama-3.1,accuracy@5,False,Effectiveness,0.26666666666666666,0.3142857142857142,0.05196196239452494,0.025841022243512066,0.0035630266096422503,0.09946956306047357,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Gemma-2,accuracy@5,False,Effectiveness,0.1714285714285714,0.31428571428571433,0.17257863380792896,0.027050749490008498,0.12227798736105105,0.21924025195641048,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Ministral,accuracy@5,False,Effectiveness,0.3047619047619047,0.34285714285714286,0.03828502893821832,0.018850678554067687,0.0036241949194884826,0.07282845765917731,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Claude-3.5,true_class_confidence,False,Effectiveness,0.035603143725865524,0.06352311249675754,0.04204665772124489,0.009708290469377026,0.02314717760210657,0.05925120826330256,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Gemma-2,true_class_confidence,False,Effectiveness,0.010357908729496653,0.05855382231206453,0.0566687376380714,0.01134214184780632,0.034606243319332784,0.07636456522322327,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Claude-3.5,entropy,True,Effectiveness,1.008259121729888,0.5908853386689604,-0.4327121953563776,0.12628009362097595,-0.6703556289300902,-0.19887161769568942,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Llama-3.1,entropy,True,Effectiveness,1.2324407917556421,0.7187867902231425,-0.5029215803316216,0.15409038896289826,-0.7824452384280811,-0.19343536365529398,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Gemma-2,entropy,True,Effectiveness,1.3091473608686188,0.46554881111512014,-0.9273468231313816,0.128977534517773,-1.1634800498983147,-0.6741223760451746,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Claude-3.5,pinc,True,Quality,0.9158475081489603,0.8799322975105026,-0.03811917446725385,0.0028605845615533193,-0.0437441704981292,-0.03295745377740458,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Llama-3.1,pinc,True,Quality,0.9302882311320134,0.7608670029880722,-0.17713265354235574,0.005948169820491264,-0.1875629862457009,-0.16504724450375594,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Gemma-2,pinc,True,Quality,0.9323632463267654,0.7704482821233101,-0.16620510485394613,0.00515763082636381,-0.17560112727176547,-0.15629433155940148,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Ministral,pinc,True,Quality,0.925629539295345,0.7258638548715741,-0.2073906316028698,0.006915107961713705,-0.22033676965258095,-0.19470664330916165,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Claude-3.5,bertscore,True,Quality,0.6280002667790368,0.5979733762286958,-0.033390181163454,0.004339592095253458,-0.04134694262705607,-0.02498226527842333,Significant Decrease (Enhanced < Baseline)
RJ,logreg,GPT-4o,bertscore,True,Quality,0.7855244994163513,0.7651973928724016,-0.02120380859695936,0.004433876474336238,-0.029519474958708325,-0.012651361173119519,Significant Decrease (Enhanced < Baseline)
RJ,logreg,Llama-3.1,bertscore,True,Quality,0.542977968284062,0.7181356390317281,0.1819788413552884,0.0057521297210818036,0.17072803248475568,0.19242500421972664,Significant Increase (Enhanced > Baseline)
RJ,logreg,Gemma-2,bertscore,True,Quality,0.5394498722893851,0.6963151227860224,0.16254428092163267,0.005312769579761733,0.1528918533642658,0.17296630958075795,Significant Increase (Enhanced > Baseline)
RJ,logreg,Ministral,bertscore,True,Quality,0.540410472097851,0.7133008054324559,0.17990169608788176,0.006013825874264614,0.16921875466552602,0.19164818550415008,Significant Increase (Enhanced > Baseline)
RJ,svm,Gemma-2,accuracy@5,False,Effectiveness,0.19047619047619047,0.23809523809523808,0.055609906000604295,0.01861134001088319,0.021991457428556224,0.09089616907251437,Significant Decrease (Enhanced < Baseline)
RJ,svm,Ministral,accuracy@5,False,Effectiveness,0.1619047619047619,0.3142857142857142,0.14414971530112045,0.03825637360308423,0.07411546953234383,0.2152334277512153,Significant Decrease (Enhanced < Baseline)
RJ,svm,Claude-3.5,true_class_confidence,False,Effectiveness,0.05381705402502952,0.04477829373103774,-0.011936814914376455,0.004905039717737342,-0.02093641785206646,-0.0027349589607312975,Significant Increase (Enhanced > Baseline)
RJ,svm,Llama-3.1,true_class_confidence,False,Effectiveness,0.044291576739009575,0.06023712929371415,0.020908648803425134,0.004237771885699219,0.012603592780110095,0.028063211427049345,Significant Decrease (Enhanced < Baseline)
RJ,svm,Gemma-2,true_class_confidence,False,Effectiveness,0.04101633080064017,0.05403881629279789,0.017779182273564197,0.0036054146409531286,0.011080093518125979,0.024225527526968396,Significant Decrease (Enhanced < Baseline)
RJ,svm,Ministral,true_class_confidence,False,Effectiveness,0.04192269918649958,0.057067792401896265,0.021437471034230028,0.004645951096797385,0.012790870993309781,0.029853617603225285,Significant Decrease (Enhanced < Baseline)
RJ,svm,Claude-3.5,entropy,True,Effectiveness,2.8686535941220552,3.57338648362258,0.725473575312309,0.08762682374000196,0.5610617151407578,0.8931316946982217,Significant Increase (Enhanced > Baseline)
RJ,svm,Llama-3.1,entropy,True,Effectiveness,3.8495620416936753,3.2277167614764553,-0.7837821296533298,0.10212994446936567,-0.9838349227127112,-0.6011602024271628,Significant Decrease (Enhanced < Baseline)
RJ,svm,Gemma-2,entropy,True,Effectiveness,3.849384805043913,2.7603694545884205,-1.185803442992143,0.09935349637328457,-1.3667035775244827,-0.9956600180966316,Significant Decrease (Enhanced < Baseline)
RJ,svm,Ministral,entropy,True,Effectiveness,3.8761186117900497,3.144087803211536,-0.8931600914631047,0.11364998506782463,-1.1024437482890868,-0.6795232031471378,Significant Decrease (Enhanced < Baseline)
RJ,svm,Claude-3.5,pinc,True,Quality,0.9158475081489603,0.8799322975105026,-0.03811917446725385,0.0028605845615533193,-0.0437441704981292,-0.03295745377740458,Significant Decrease (Enhanced < Baseline)
RJ,svm,Llama-3.1,pinc,True,Quality,0.9302882311320134,0.7608670029880722,-0.17713265354235574,0.005948169820491264,-0.1875629862457009,-0.16504724450375594,Significant Decrease (Enhanced < Baseline)
RJ,svm,Gemma-2,pinc,True,Quality,0.9323632463267654,0.7704482821233101,-0.16620510485394613,0.00515763082636381,-0.17560112727176547,-0.15629433155940148,Significant Decrease (Enhanced < Baseline)
RJ,svm,Ministral,pinc,True,Quality,0.925629539295345,0.7258638548715741,-0.2073906316028698,0.006915107961713705,-0.22033676965258095,-0.19470664330916165,Significant Decrease (Enhanced < Baseline)
RJ,svm,Claude-3.5,bertscore,True,Quality,0.6280002667790368,0.5979733762286958,-0.033390181163454,0.004339592095253458,-0.04134694262705607,-0.02498226527842333,Significant Decrease (Enhanced < Baseline)
RJ,svm,GPT-4o,bertscore,True,Quality,0.7855244994163513,0.7651973928724016,-0.02120380859695936,0.004433876474336238,-0.029519474958708325,-0.012651361173119519,Significant Decrease (Enhanced < Baseline)
RJ,svm,Llama-3.1,bertscore,True,Quality,0.542977968284062,0.7181356390317281,0.1819788413552884,0.0057521297210818036,0.17072803248475568,0.19242500421972664,Significant Increase (Enhanced > Baseline)
RJ,svm,Gemma-2,bertscore,True,Quality,0.5394498722893851,0.6963151227860224,0.16254428092163267,0.005312769579761733,0.1528918533642658,0.17296630958075795,Significant Increase (Enhanced > Baseline)
RJ,svm,Ministral,bertscore,True,Quality,0.540410472097851,0.7133008054324559,0.17990169608788176,0.006013825874264614,0.16921875466552602,0.19164818550415008,Significant Increase (Enhanced > Baseline)
RJ,roberta,GPT-4o,accuracy@1,False,Effectiveness,0.14285714285714285,0.1333333333333333,-0.012683910924187261,0.005500806691182748,-0.02287512383660024,-0.0033018743824525703,Significant Increase (Enhanced > Baseline)
RJ,roberta,Llama-3.1,accuracy@1,False,Effectiveness,0.019047619047619046,0.10476190476190475,0.08590407646007131,0.018850678272820734,0.051243242562881985,0.12044750527821264,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Gemma-2,accuracy@1,False,Effectiveness,0.05714285714285714,0.09523809523809523,0.03828502916444903,0.018850679427476657,0.0036241962575191827,0.07282845765918801,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Ministral,accuracy@1,False,Effectiveness,0.0,0.11428571428571428,0.12168155995656546,0.01322338569563139,0.09714863652132266,0.1394408232975832,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Llama-3.1,accuracy@5,False,Effectiveness,0.2,0.2761904761904762,0.07330878474480869,0.02481597592814155,0.027373992182906204,0.11866643653942936,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Llama-3.1,true_class_confidence,False,Effectiveness,0.016379645094275475,0.10975589454174042,0.10113491005319249,0.01033028068915724,0.08187074495283096,0.11666560782247751,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Ministral,true_class_confidence,False,Effectiveness,0.020313984900712966,0.11948454082012176,0.1040914973598491,0.010037772940830208,0.08518242486870267,0.11847267948095566,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Claude-3.5,pinc,True,Quality,0.9158475081489603,0.8799322975105026,-0.03811917446725385,0.0028605845615533193,-0.0437441704981292,-0.03295745377740458,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Llama-3.1,pinc,True,Quality,0.9302882311320134,0.7608670029880722,-0.17713265354235574,0.005948169820491264,-0.1875629862457009,-0.16504724450375594,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Gemma-2,pinc,True,Quality,0.9323632463267654,0.7704482821233101,-0.16620510485394613,0.00515763082636381,-0.17560112727176547,-0.15629433155940148,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Ministral,pinc,True,Quality,0.925629539295345,0.7258638548715741,-0.2073906316028698,0.006915107961713705,-0.22033676965258095,-0.19470664330916165,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Claude-3.5,bertscore,True,Quality,0.6280002667790368,0.5979733762286958,-0.033390181163454,0.004339592095253458,-0.04134694262705607,-0.02498226527842333,Significant Decrease (Enhanced < Baseline)
RJ,roberta,GPT-4o,bertscore,True,Quality,0.7855244994163513,0.7651973928724016,-0.02120380859695936,0.004433876474336238,-0.029519474958708325,-0.012651361173119519,Significant Decrease (Enhanced < Baseline)
RJ,roberta,Llama-3.1,bertscore,True,Quality,0.542977968284062,0.7181356390317281,0.1819788413552884,0.0057521297210818036,0.17072803248475568,0.19242500421972664,Significant Increase (Enhanced > Baseline)
RJ,roberta,Gemma-2,bertscore,True,Quality,0.5394498722893851,0.6963151227860224,0.16254428092163267,0.005312769579761733,0.1528918533642658,0.17296630958075795,Significant Increase (Enhanced > Baseline)
RJ,roberta,Ministral,bertscore,True,Quality,0.540410472097851,0.7133008054324559,0.17990169608788176,0.006013825874264614,0.16921875466552602,0.19164818550415008,Significant Increase (Enhanced > Baseline)
